Time resolution is 1 ps
Time: 0 | x_in = xxxxxxxxxxxxxxxx | y_out = xxxxxxxxxxxxxxxx
Time: 2800486000 | x_in = 0001100010001111 | y_out = 1111101010001000
Time: 2823162000 | x_in = 0001011001010111 | y_out = 1111101010101101
Time: 2845838000 | x_in = 0001010000000001 | y_out = 1111101011010011
Time: 2868514000 | x_in = 0001000110010010 | y_out = 1111101011111010
Time: 2891190000 | x_in = 0000111100001101 | y_out = 1111101100101010
Time: 2913866000 | x_in = 0000110001110011 | y_out = 1111101101101011
Time: 2936542000 | x_in = 0000100111001010 | y_out = 1111101111000101
Time: 2959218000 | x_in = 0000011100010100 | y_out = 1111110000111100
Time: 2981894000 | x_in = 0000010001010101 | y_out = 1111110011001110
Time: 3004570000 | x_in = 0000000110010000 | y_out = 1111110101110100
Time: 3027246000 | x_in = 1111111011001010 | y_out = 1111111000100011
Time: 3049922000 | x_in = 1111110000000101 | y_out = 1111111011010010
Time: 3072598000 | x_in = 1111100101000101 | y_out = 1111111101111010
Time: 3095274000 | x_in = 1111011010001110 | y_out = 0000000000011010
Time: 3117950000 | x_in = 1111001111100010 | y_out = 0000000010111000
Time: 3140626000 | x_in = 1111000101000111 | y_out = 0000000101011110
Time: 3163302000 | x_in = 1110111010111110 | y_out = 0000001000010111
Time: 3185978000 | x_in = 1110110001001100 | y_out = 0000001011101000
Time: 3208654000 | x_in = 1110100111110100 | y_out = 0000001111001111
Time: 3231330000 | x_in = 1110011110111000 | y_out = 0000010011000010
Time: 3254006000 | x_in = 1110010110011011 | y_out = 0000010110110010
Time: 3276682000 | x_in = 1110001110100000 | y_out = 0000011010001110
Time: 3299358000 | x_in = 1110000111001011 | y_out = 0000011101001000
Time: 3322034000 | x_in = 1110000000011100 | y_out = 0000011111100000
Time: 3344710000 | x_in = 1101111010010110 | y_out = 0000100001100011
Time: 3367386000 | x_in = 1101110100111100 | y_out = 0000100011101110
Time: 3390062000 | x_in = 1101110000001111 | y_out = 0000100110100111
Time: 3412738000 | x_in = 1101101100010000 | y_out = 0000101010110011
Time: 3435414000 | x_in = 1101101001000001 | y_out = 0000110000110101
Time: 3458090000 | x_in = 1101100110100010 | y_out = 0000111000111101
Time: 3480766000 | x_in = 1101100100110110 | y_out = 0001000011001000
Time: 3503442000 | x_in = 1101100011111011 | y_out = 0001001111000000
Time: 3526118000 | x_in = 1101100011110011 | y_out = 0001011011111111
Time: 3548794000 | x_in = 1101100100011110 | y_out = 0001101001011001
Time: 3571470000 | x_in = 1101100101111011 | y_out = 0001110110100100
Time: 3594146000 | x_in = 1101101000001010 | y_out = 0010000010111110
Time: 3616822000 | x_in = 1101101011001001 | y_out = 0010001110010101
Time: 3639498000 | x_in = 1101101110111001 | y_out = 0010011000100110
Time: 3662174000 | x_in = 1101110011011000 | y_out = 0010100001111000
Time: 3684850000 | x_in = 1101111000100100 | y_out = 0010101010011000
Time: 3707526000 | x_in = 1101111110011100 | y_out = 0010110010010010
Time: 3730202000 | x_in = 1110000100111110 | y_out = 0010111001101101
Time: 3752878000 | x_in = 1110001100001000 | y_out = 0011000000100111
Time: 3775554000 | x_in = 1110010011111000 | y_out = 0011000110110110
Time: 3798230000 | x_in = 1110011100001010 | y_out = 0011001100001110
Time: 3820906000 | x_in = 1110100100111100 | y_out = 0011010000100010
Time: 3843582000 | x_in = 1110101110001100 | y_out = 0011010011101011
Time: 3866258000 | x_in = 1110110111110111 | y_out = 0011010101100111
Time: 3888934000 | x_in = 1111000001111000 | y_out = 0011010110011010
Time: 3911610000 | x_in = 1111001100001110 | y_out = 0011010110001110
Time: 3934286000 | x_in = 1111010110110101 | y_out = 0011010101001101
Time: 3956962000 | x_in = 1111100001101001 | y_out = 0011010011011101
Time: 3979638000 | x_in = 1111101100100110 | y_out = 0011010001000000
Time: 4002314000 | x_in = 1111110111101010 | y_out = 0011001101110010
Time: 4024990000 | x_in = 0000000010110000 | y_out = 0011001001101101
Time: 4047666000 | x_in = 0000001101110110 | y_out = 0011000100101001
Time: 4070342000 | x_in = 0000011000110111 | y_out = 0010111110100000
Time: 4093018000 | x_in = 0000100011110001 | y_out = 0010110111010011
Time: 4115694000 | x_in = 0000101110011110 | y_out = 0010101111000101
Time: 4138370000 | x_in = 0000111000111101 | y_out = 0010100110000011
Time: 4161046000 | x_in = 0001000011001001 | y_out = 0010011100011000
Time: 4183722000 | x_in = 0001001101000000 | y_out = 0010010010010001
Time: 4206398000 | x_in = 0001010110011101 | y_out = 0010000111111010
Time: 4229074000 | x_in = 0001011111011111 | y_out = 0001111101010110
